producer,processor prod,processor model,cores,core base speed (GHz),core boost speed (GHz),ram type,ram cap (GB),ssd (GB),hdd (GB),gpu prod,gpu size (MB),gpu base speed (GHz),gpu boost speed (GHz),screen type,screen size (inch),screen horizontal resolution,screen vertical resolution,sRGB (%),weight (kg),os,battery capacity (WHr),price(USD)
asus,intel,i7,4,1.8,4,ddr3,8,0,256,intel,1700,300,1150,led ips,13.3,1920,1080,100,1,windows pro 10.00,50,990.5
asus,intel,i5,4,1.6,3.4,ddr4,8,0,0,intel,1700,300,1100,led tn,15.6,1920,1080,60,1.9,windows home 10.00,33,999.5
asus,intel,i5,4,1.6,3.9,ddr3,8,0,256,intel,1700,300,1100,led ips,14,1920,1080,90,1.19,windows home 10.00,50,999.5
asus,amd,ryzen7,8,2.9,4.2,ddr4,8,0,512,nvidia,6144,960,1200,led ips,15.6,1920,1080,60,2.3,windows home 10.00,90,999.5
asus,intel,i7,4,2.8,4.7,ddr4,16,0,1024,intel,8192,400,1300,led ips,15.6,1920,1080,60,1.8,windows home 10.00,42,999.5
asus,intel,i7,4,2.8,4.7,ddr4,16,0,1024,intel,8192,400,1300,led ips,13.3,1920,1080,90,1.11,windows home 10.00,67,999.5
asus,intel,i7,4,1.8,4.9,ddr4,8,0,512,intel,1700,300,1150,led ips,14,1920,1080,90,1.5,windows home 10.00,70,1000
asus,intel,i7,4,1.8,4.9,ddr4,16,0,1024,nvidia,2048,1519,1582,led ips,15.6,1920,1080,60,1.8,windows home 10.00,42,1000
asus,intel,i7,4,1.8,4.6,ddr3,8,0,512,intel,1700,300,1150,led ips,14,1920,1080,100,1.45,windows home 10.00,47,1029
asus,intel,i7,6,2.6,4.5,ddr4,16,1000,256,nvidia,4096,1395,1560,led ips,15.6,1920,1080,60,2.14,windows home 10.00,42,1050.5
asus,amd,ryzen7,4,2.3,4,ddr4,16,0,512,nvidia,6144,960,1200,led ips,15.6,1920,1080,50,2.3,windows home 10.00,48,1061.5
asus,amd,ryzen7,8,2,4.1,ddr4,16,0,1024,amd,2048,1100,1600,led ips,14,1920,1080,60,1.22,windows pro 10.00,67,1062.5
asus,intel,i5,4,2.4,4.1,ddr4,8,0,512,nvidia,6144,1455,1590,led ips,15.6,1920,1080,60,2.4,windows home 10.00,66,1076.5
asus,amd,ryzen7,8,2.9,4.2,ddr4,16,0,1024,nvidia,6144,1455,1590,led ips,17.3,1920,1080,60,2.58,windows home 10.00,90,1099.5
